Iteration: 1, Depth: 0, Hn: 13, Fn: 13, Qsize: 20, New Children: 20
Iteration: 58, Depth: 3, Hn: 9, Fn: 12, Qsize: 615, New Children: 10
Iteration: 59, Depth: 3, Hn: 9, Fn: 12, Qsize: 624, New Children: 10
Iteration: 60, Depth: 4, Hn: 8, Fn: 12, Qsize: 633, New Children: 10
Iteration: 61, Depth: 3, Hn: 9, Fn: 12, Qsize: 641, New Children: 9
Iteration: 62, Depth: 3, Hn: 9, Fn: 12, Qsize: 649, New Children: 9
Iteration: 63, Depth: 4, Hn: 8, Fn: 12, Qsize: 660, New Children: 12
Iteration: 64, Depth: 5, Hn: 6, Fn: 11, Qsize: 669, New Children: 10
Iteration: 65, Depth: 4, Hn: 8, Fn: 12, Qsize: 680, New Children: 12
Iteration: 66, Depth: 4, Hn: 8, Fn: 12, Qsize: 690, New Children: 11
Iteration: 67, Depth: 5, Hn: 5, Fn: 10, Qsize: 700, New Children: 11
Iteration: 68, Depth: 6, Hn: 5, Fn: 11, Qsize: 709, New Children: 10
Iteration: 69, Depth: 5, Hn: 7, Fn: 12, Qsize: 718, New Children: 10
Iteration: 70, Depth: 5, Hn: 7, Fn: 12, Qsize: 729, New Children: 12
Iteration: 71, Depth: 4, Hn: 8, Fn: 12, Qsize: 738, New Children: 10
Iteration: 72, Depth: 5, Hn: 5, Fn: 10, Qsize: 748, New Children: 11
Iteration: 73, Depth: 3, Hn: 9, Fn: 12, Qsize: 758, New Children: 11
Iteration: 74, Depth: 2, Hn: 10, Fn: 12, Qsize: 764, New Children: 7
Iteration: 75, Depth: 3, Hn: 9, Fn: 12, Qsize: 774, New Children: 11
Iteration: 76, Depth: 4, Hn: 8, Fn: 12, Qsize: 781, New Children: 8
Iteration: 77, Depth: 4, Hn: 8, Fn: 12, Qsize: 795, New Children: 15
Iteration: 78, Depth: 5, Hn: 6, Fn: 11, Qsize: 805, New Children: 11
Iteration: 79, Depth: 3, Hn: 9, Fn: 12, Qsize: 815, New Children: 11
Iteration: 80, Depth: 4, Hn: 6, Fn: 10, Qsize: 826, New Children: 12
Iteration: 81, Depth: 5, Hn: 7, Fn: 12, Qsize: 837, New Children: 12
Iteration: 82, Depth: 5, Hn: 7, Fn: 12, Qsize: 844, New Children: 8
Iteration: 83, Depth: 3, Hn: 9, Fn: 12, Qsize: 851, New Children: 8
Iteration: 84, Depth: 5, Hn: 7, Fn: 12, Qsize: 862, New Children: 12
Iteration: 85, Depth: 2, Hn: 10, Fn: 12, Qsize: 869, New Children: 8
Iteration: 86, Depth: 3, Hn: 9, Fn: 12, Qsize: 874, New Children: 6
Iteration: 87, Depth: 3, Hn: 9, Fn: 12, Qsize: 889, New Children: 16
Iteration: 88, Depth: 4, Hn: 8, Fn: 12, Qsize: 900, New Children: 12
Iteration: 89, Depth: 4, Hn: 9, Fn: 13, Qsize: 911, New Children: 12
Iteration: 90, Depth: 4, Hn: 9, Fn: 13, Qsize: 917, New Children: 7
Iteration: 91, Depth: 5, Hn: 6, Fn: 11, Qsize: 924, New Children: 8
Iteration: 92, Depth: 2, Hn: 11, Fn: 13, Qsize: 932, New Children: 9
Iteration: 93, Depth: 3, Hn: 9, Fn: 12, Qsize: 944, New Children: 13
Iteration: 94, Depth: 4, Hn: 7, Fn: 11, Qsize: 952, New Children: 9
Iteration: 95, Depth: 4, Hn: 8, Fn: 12, Qsize: 963, New Children: 12
Iteration: 96, Depth: 4, Hn: 9, Fn: 13, Qsize: 974, New Children: 12
Iteration: 97, Depth: 5, Hn: 6, Fn: 11, Qsize: 982, New Children: 9
Iteration: 98, Depth: 4, Hn: 9, Fn: 13, Qsize: 993, New Children: 12
Iteration: 99, Depth: 2, Hn: 11, Fn: 13, Qsize: 1004, New Children: 12
Iteration: 100, Depth: 4, Hn: 9, Fn: 13, Qsize: 1015, New Children: 12
Iteration: 101, Depth: 5, Hn: 8, Fn: 13, Qsize: 1023, New Children: 9
Iteration: 102, Depth: 5, Hn: 8, Fn: 13, Qsize: 1034, New Children: 12
Iteration: 103, Depth: 3, Hn: 10, Fn: 13, Qsize: 1049, New Children: 16
Iteration: 104, Depth: 3, Hn: 10, Fn: 13, Qsize: 1060, New Children: 12
Iteration: 105, Depth: 6, Hn: 7, Fn: 13, Qsize: 1067, New Children: 8
Iteration: 106, Depth: 6, Hn: 7, Fn: 13, Qsize: 1076, New Children: 10
Iteration: 107, Depth: 5, Hn: 8, Fn: 13, Qsize: 1091, New Children: 16
Iteration: 108, Depth: 2, Hn: 11, Fn: 13, Qsize: 1094, New Children: 4
Iteration: 109, Depth: 2, Hn: 11, Fn: 13, Qsize: 1102, New Children: 9
Iteration: 110, Depth: 3, Hn: 5, Fn: 8, Qsize: 1112, New Children: 11
Iteration: 111, Depth: 3, Hn: 6, Fn: 9, Qsize: 1118, New Children: 7
Iteration: 112, Depth: 4, Hn: 7, Fn: 11, Qsize: 1129, New Children: 12
Iteration: 113, Depth: 4, Hn: 8, Fn: 12, Qsize: 1137, New Children: 9
Iteration: 114, Depth: 4, Hn: 8, Fn: 12, Qsize: 1148, New Children: 12
Iteration: 115, Depth: 5, Hn: 7, Fn: 12, Qsize: 1159, New Children: 12
Iteration: 116, Depth: 5, Hn: 7, Fn: 12, Qsize: 1166, New Children: 8
Iteration: 117, Depth: 2, Hn: 11, Fn: 13, Qsize: 1181, New Children: 16
Iteration: 118, Depth: 3, Hn: 9, Fn: 12, Qsize: 1192, New Children: 12
Iteration: 119, Depth: 4, Hn: 8, Fn: 12, Qsize: 1206, New Children: 15
Iteration: 120, Depth: 4, Hn: 9, Fn: 13, Qsize: 1217, New Children: 12
Iteration: 121, Depth: 3, Hn: 10, Fn: 13, Qsize: 1220, New Children: 4
Iteration: 122, Depth: 4, Hn: 8, Fn: 12, Qsize: 1224, New Children: 5
Iteration: 123, Depth: 5, Hn: 5, Fn: 10, Qsize: 1230, New Children: 7
Iteration: 124, Depth: 6, Hn: 6, Fn: 12, Qsize: 1238, New Children: 9
Iteration: 125, Depth: 2, Hn: 11, Fn: 13, Qsize: 1251, New Children: 14
Iteration: 126, Depth: 3, Hn: 10, Fn: 13, Qsize: 1260, New Children: 10
Iteration: 127, Depth: 4, Hn: 7, Fn: 11, Qsize: 1270, New Children: 11
Iteration: 128, Depth: 5, Hn: 4, Fn: 9, Qsize: 1280, New Children: 11
Iteration: 129, Depth: 4, Hn: 7, Fn: 11, Qsize: 1290, New Children: 11
